,S.temperature,diff.temperature,alpha.temperature,beta0_gsic.slr_brick,V0_gsic.slr_brick,n_gsic.slr_brick,Gs0_gsic.slr_brick,a_tee.slr_brick,a_simple.slr_brick,b_simple.slr_brick,alpha_simple.slr_brick,beta_simple.slr_brick,V0_simple.slr_brick,offset.Tgav_obs,sigma.Tgav_obs,rho.Tgav_obs,sigma.slr_gsic_obs,rho.slr_gsic_obs,sigma.slr_gis_obs,rho.slr_gis_obs,a_anto.slr_brick,b_anto.slr_brick,gamma_dais.slr_brick,alpha_dais.slr_brick,mu_dais.slr_brick,nu_dais.slr_brick,P0_dais.slr_brick,kappa_dais.slr_brick,f0_dais.slr_brick,h0_dais.slr_brick,c_dais.slr_brick,b0_dais.slr_brick,slope_dais.slr_brick,lambda_dais.slr_brick,Tcrit_dais.slr_brick,offset.ocheat_obs,sigma.ocheat_obs,rho.ocheat_obs,leaf
p,0.549,0.087,0.243,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.003,0.004,0.074,0.0,0.0,0.0,0.0
l,0.404,0.02,0.137,0.001,0.001,0.0,0.0,0.025,0.0,0.002,0.002,0.002,0.005,0.002,0.0,0.0,0.0,0.002,0.001,0.0,0.001,0.001,0.002,0.001,0.0,0.0,0.046,0.0,0.003,0.002,0.001,0.0,0.018,0.022,0.299,0.0,0.0,0.0,0.0
ll,0.27,0.019,0.116,0.0,0.001,0.003,0.003,0.019,0.002,0.002,0.005,0.006,0.009,0.027,0.004,0.0,0.001,0.007,0.007,0.003,0.008,0.013,0.004,0.006,0.003,0.006,0.026,0.004,0.002,0.002,0.0,0.002,0.021,0.019,0.188,0.0,0.0,0.0,0.192
lll,0.15594059405940594,0.009900990099009901,0.07797029702970297,0.006188118811881188,0.008663366336633664,0.011138613861386138,0.009900990099009901,0.018564356435643563,0.0049504950495049506,0.007425742574257425,0.008663366336633664,0.013613861386138614,0.019801980198019802,0.01485148514851485,0.013613861386138614,0.006188118811881188,0.0037128712871287127,0.009900990099009901,0.012376237623762377,0.0037128712871287127,0.013613861386138614,0.01485148514851485,0.006188118811881188,0.009900990099009901,0.008663366336633664,0.0049504950495049506,0.018564356435643563,0.009900990099009901,0.006188118811881188,0.0049504950495049506,0.006188118811881188,0.007425742574257425,0.01485148514851485,0.012376237623762377,0.10024752475247525,0.0,0.0,0.0,0.34405940594059403
llll,0.05660377358490566,0.005660377358490566,0.04150943396226415,0.007547169811320755,0.005660377358490566,0.0018867924528301887,0.01509433962264151,0.007547169811320755,0.005660377358490566,0.0018867924528301887,0.011320754716981131,0.011320754716981131,0.013207547169811321,0.011320754716981131,0.005660377358490566,0.009433962264150943,0.0018867924528301887,0.013207547169811321,0.0018867924528301887,0.0037735849056603774,0.005660377358490566,0.011320754716981131,0.0037735849056603774,0.011320754716981131,0.0018867924528301887,0.0018867924528301887,0.011320754716981131,0.007547169811320755,0.0037735849056603774,0.0037735849056603774,0.005660377358490566,0.0018867924528301887,0.009433962264150943,0.011320754716981131,0.04339622641509434,0.0,0.0,0.0,0.6339622641509434
lllll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
llllr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lllr,0.07924528301886792,0.018867924528301886,0.03207547169811321,0.020754716981132074,0.005660377358490566,0.009433962264150943,0.009433962264150943,0.011320754716981131,0.005660377358490566,0.013207547169811321,0.011320754716981131,0.009433962264150943,0.011320754716981131,0.020754716981132074,0.005660377358490566,0.009433962264150943,0.009433962264150943,0.013207547169811321,0.01509433962264151,0.0037735849056603774,0.005660377358490566,0.009433962264150943,0.009433962264150943,0.011320754716981131,0.0037735849056603774,0.009433962264150943,0.016981132075471698,0.007547169811320755,0.011320754716981131,0.007547169811320755,0.005660377358490566,0.016981132075471698,0.018867924528301886,0.009433962264150943,0.06415094339622641,0.0,0.0,0.0,0.47735849056603774
lllrl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lllrr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
llr,0.14232673267326731,0.02103960396039604,0.04826732673267327,0.011138613861386138,0.009900990099009901,0.01608910891089109,0.011138613861386138,0.01608910891089109,0.007425742574257425,0.01608910891089109,0.024752475247524754,0.01485148514851485,0.008663366336633664,0.0297029702970297,0.008663366336633664,0.011138613861386138,0.0024752475247524753,0.01485148514851485,0.009900990099009901,0.009900990099009901,0.01485148514851485,0.01485148514851485,0.019801980198019802,0.007425742574257425,0.009900990099009901,0.009900990099009901,0.024752475247524754,0.0037128712871287127,0.006188118811881188,0.007425742574257425,0.011138613861386138,0.01608910891089109,0.03094059405940594,0.01608910891089109,0.1373762376237624,0.0,0.0,0.0,0.23514851485148514
llrl,0.06957928802588997,0.011326860841423949,0.0372168284789644,0.006472491909385114,0.014563106796116505,0.006472491909385114,0.003236245954692557,0.009708737864077669,0.009708737864077669,0.011326860841423949,0.012944983818770227,0.009708737864077669,0.009708737864077669,0.021035598705501618,0.016181229773462782,0.014563106796116505,0.008090614886731391,0.019417475728155338,0.006472491909385114,0.0048543689320388345,0.0048543689320388345,0.0048543689320388345,0.01779935275080906,0.014563106796116505,0.006472491909385114,0.0,0.008090614886731391,0.0048543689320388345,0.006472491909385114,0.014563106796116505,0.006472491909385114,0.011326860841423949,0.014563106796116505,0.014563106796116505,0.07281553398058252,0.0,0.0,0.0,0.49514563106796117
