Estimator,Depth 0,Depth 1,Depth 2,Depth 3,Depth 4,Depth 5,Depth 6,Depth 7,Depth 8,Depth 9,Depth 10,Depth 11,Depth 12
0,"('beta0_gsic.slr_brick', 0.0008888276352081448)","('h0_dais.slr_brick', 1775.6755981445312)","('P0_dais.slr_brick', 0.3157210201025009)","('S.temperature', 3.197149872779846)","('a_tee.slr_brick', 0.10471238568425179)","('a_simple.slr_brick', -3.5238791704177856)",,,,,,,
1,"('h0_dais.slr_brick', 1462.6587524414062)","('a_anto.slr_brick', 0.4326094686985016)","('a_tee.slr_brick', 0.10260238870978355)","('S.temperature', 3.555558443069458)","('a_tee.slr_brick', 0.14832919836044312)","('beta0_gsic.slr_brick', 0.0013292323565110564)","('V0_gsic.slr_brick', 0.4191956967115402)","('beta0_gsic.slr_brick', 0.0008604716858826578)","('rho.slr_gsic_obs', 0.990172415971756)","('kappa_dais.slr_brick', 0.06776507198810577)","('alpha_dais.slr_brick', 0.129361130297184)","('sigma.slr_gis_obs', 0.0002394135808572173)",
2,"('S.temperature', 2.710429072380066)","('V0_gsic.slr_brick', 0.3314236253499985)","('b_simple.slr_brick', 7.648015260696411)","('beta0_gsic.slr_brick', 0.0007294504030141979)","('a_tee.slr_brick', 0.08310677856206894)","('alpha.temperature', 1.005213737487793)","('b_anto.slr_brick', 0.04244070686399937)","('h0_dais.slr_brick', 2082.80615234375)","('offset.Tgav_obs', -0.010475774761289358)","('f0_dais.slr_brick', 0.6773267388343811)","('a_tee.slr_brick', 0.10656282678246498)","('mu_dais.slr_brick', 10.371352672576904)",
3,"('slope_dais.slr_brick', 0.0005753053119406104)","('beta0_gsic.slr_brick', 0.0007381158648058772)","('alpha.temperature', 0.9897926151752472)","('Tcrit_dais.slr_brick', -15.189013481140137)","('slope_dais.slr_brick', 0.0006820598791819066)","('b_simple.slr_brick', 7.657649040222168)","('V0_simple.slr_brick', 7.369424104690552)","('beta_simple.slr_brick', 8.447769505437464e-05)","('nu_dais.slr_brick', 0.010941051412373781)","('f0_dais.slr_brick', 1.135720670223236)","('b_simple.slr_brick', 7.88117241859436)","('diff.temperature', 2.549856185913086)","('c_dais.slr_brick', 112.00123596191406)"
4,"('sigma.slr_gsic_obs', 0.00022073423315305263)","('diff.temperature', 1.348258376121521)","('rho.slr_gis_obs', 0.9981500804424286)","('slope_dais.slr_brick', 0.0006266511627472937)","('a_simple.slr_brick', -0.8831278681755066)","('a_tee.slr_brick', 0.15761980414390564)",,,,,,,
5,"('Tcrit_dais.slr_brick', -16.28139591217041)","('a_tee.slr_brick', 0.08884202688932419)","('diff.temperature', 3.9731311798095703)",,,,,,,,,,
6,"('slope_dais.slr_brick', 0.0005890366446692497)","('alpha.temperature', 0.8938223719596863)","('a_simple.slr_brick', -0.8823550641536713)","('a_tee.slr_brick', 0.15186498314142227)","('S.temperature', 5.639082431793213)","('beta_simple.slr_brick', 0.0002951580099761486)","('f0_dais.slr_brick', 1.4622814059257507)","('b0_dais.slr_brick', 765.0082397460938)",,,,,
7,"('diff.temperature', 1.6655099391937256)","('a_anto.slr_brick', 0.28038638830184937)","('alpha.temperature', 0.9842444360256195)","('b_simple.slr_brick', 7.649296045303345)","('V0_simple.slr_brick', 7.357403993606567)","('P0_dais.slr_brick', 0.32824520766735077)","('b_simple.slr_brick', 7.470245361328125)","('sigma.slr_gis_obs', 0.000183422387635801)",,,,,
8,"('diff.temperature', 1.8531442284584045)","('a_simple.slr_brick', -1.1766237616539001)","('a_tee.slr_brick', 0.08443570882081985)","('rho.slr_gis_obs', 0.9352155327796936)","('alpha.temperature', 0.8038567900657654)","('rho.slr_gsic_obs', 0.7039231359958649)","('beta0_gsic.slr_brick', 0.0007198931998573244)","('slope_dais.slr_brick', 0.0006401498976629227)","('mu_dais.slr_brick', 12.883212566375732)",,,,
9,"('beta0_gsic.slr_brick', 0.0009444569586776197)","('a_tee.slr_brick', 0.09562881290912628)",,,,,,,,,,,
10,"('diff.temperature', 1.8084754347801208)","('beta0_gsic.slr_brick', 0.0009174255537800491)","('b_simple.slr_brick', 7.547116041183472)","('S.temperature', 4.204046249389648)","('a_simple.slr_brick', -1.267387866973877)","('beta0_gsic.slr_brick', 0.0004421247140271589)","('alpha.temperature', 1.1665722727775574)","('f0_dais.slr_brick', 1.2358048558235168)","('b0_dais.slr_brick', 758.9594116210938)","('beta_simple.slr_brick', 0.0001538357901154086)",,,
11,"('beta0_gsic.slr_brick', 0.0006711710302624851)","('beta0_gsic.slr_brick', 0.0009337985829915851)","('b_simple.slr_brick', 7.780567169189453)","('diff.temperature', 1.3127779960632324)","('diff.temperature', 3.973672866821289)","('lambda_dais.slr_brick', 0.014685952104628086)",,,,,,,
12,"('S.temperature', 2.81082820892334)","('Tcrit_dais.slr_brick', -14.425234317779541)","('mu_dais.slr_brick', 12.595454692840576)","('S.temperature', 4.202520847320557)","('a_tee.slr_brick', 0.09519615396857262)","('P0_dais.slr_brick', 0.24579057842493057)","('a_tee.slr_brick', 0.15266094356775284)",,,,,,
13,"('rho.slr_gis_obs', 0.9562192261219025)","('a_simple.slr_brick', -1.497271180152893)","('a_anto.slr_brick', 0.3928559124469757)","('alpha.temperature', 0.9806007742881775)","('offset.Tgav_obs', 0.01601506397128105)","('b_simple.slr_brick', 7.650795936584473)","('rho.slr_gsic_obs', 0.779131293296814)","('b_anto.slr_brick', 1.477425992488861)",,,,,
14,"('a_tee.slr_brick', 0.08444395288825035)","('Tcrit_dais.slr_brick', -15.662418842315674)","('beta0_gsic.slr_brick', 0.0010379342711530626)","('alpha_dais.slr_brick', 0.11387640610337257)","('a_anto.slr_brick', 0.8840962648391724)","('diff.temperature', 1.2496115565299988)","('offset.Tgav_obs', 0.027399453334510326)","('S.temperature', 4.092042684555054)","('a_tee.slr_brick', 0.1202167496085167)","('V0_simple.slr_brick', 7.336824178695679)",,,
15,"('S.temperature', 3.6725836992263794)","('b_simple.slr_brick', 7.651374578475952)","('sigma.slr_gis_obs', 0.00018084447219735011)","('n_gsic.slr_brick', 0.5984435081481934)","('beta_simple.slr_brick', 2.9061904569971375e-05)","('a_tee.slr_brick', 0.09972044825553894)","('slope_dais.slr_brick', 0.0005942265852354467)",,,,,,
