0,1,2,3,4,5,6,7,8,9,10,11
-15.622298240661621,-15.423280715942383,-16.21939468383789,-16.13761806488037,-15.78175401687622,-15.0259690284729,,,,,,
-16.09879779815674,-15.696828842163086,-15.403087139129639,-15.110119342803955,-15.421441555023193,,,,,,,
-16.122472763061523,-15.718267440795898,-15.201501846313477,-15.339391708374023,-15.480416297912598,-15.742627620697021,-15.571290969848633,-15.922895908355713,-15.026586532592773,,,
-15.651053428649902,-15.021742343902588,,,,,,,,,,
-15.563182830810547,-15.860062599182129,-16.086605072021484,-14.95055627822876,,,,,,,,
-16.21939468383789,-15.68665075302124,,,,,,,,,,
-15.533907413482666,-15.229117393493652,-16.18118381500244,-15.331011772155762,-15.385933876037598,-14.843080997467041,,,,,,
-15.906766891479492,-14.557360172271729,-15.452688217163086,,,,,,,,,
-15.254209041595459,-15.323771476745605,-15.85579538345337,-15.881350994110107,-15.6589937210083,-15.447144508361816,,,,,,
-16.125252723693848,-14.963420391082764,-15.696465492248535,-15.450303077697754,-15.791236877441406,-15.43015432357788,,,,,,
-15.21679401397705,-15.779748916625977,-15.544867515563965,-15.396625518798828,-15.782602310180664,-15.838941097259521,-15.477652549743652,-15.369001865386963,,,,
-16.02903413772583,-16.188282012939453,-15.513288974761963,-15.359194278717041,,,,,,,,
-14.802434921264648,-15.518989562988281,,,,,,,,,,
-15.720276832580566,-16.117064476013184,-15.853086948394775,,,,,,,,,
-15.78787899017334,-15.281968593597412,-15.88033151626587,-15.686480045318604,-15.460238456726074,-15.39291000366211,,,,,,
-15.608557224273682,-15.611181735992432,-15.52055835723877,-15.851805686950684,-15.419220447540283,-15.858194351196289,-16.18500518798828,,,,,
-14.782299995422363,-15.017841815948486,,,,,,,,,,
-16.197357177734375,-15.696066856384277,-14.825637340545654,,,,,,,,,
-15.313580989837646,-15.07745885848999,-14.892608165740967,-15.798279285430908,-15.582069396972656,-15.34418773651123,-15.858370780944824,,,,,
-15.332378387451172,-15.525523662567139,-15.11815357208252,-15.332726955413818,,,,,,,,
-15.83853816986084,-15.48048210144043,-16.196213722229004,-15.66716480255127,-15.155538082122803,,,,,,,
-14.567138195037842,,,,,,,,,,,
-15.309102535247803,-15.03708028793335,-15.423883438110352,-15.57685375213623,-15.679150581359863,-15.368607521057129,,,,,,
-15.40330982208252,-14.96874189376831,-15.388711929321289,,,,,,,,,
-15.877242088317871,-15.832229137420654,-16.197357177734375,-16.142122268676758,-14.94142198562622,-15.300016403198242,-15.408591270446777,-15.012933731079102,-15.19468641281128,,,
-16.220450401306152,-15.618141174316406,,,,,,,,,,
-15.264316082000732,-15.518284320831299,-15.39111328125,-15.608741283416748,-16.070500373840332,,,,,,,
-15.13526439666748,-15.702409744262695,-16.019744873046875,-15.878959655761719,-15.48783254623413,,,,,,,
-15.968696594238281,-15.800218105316162,-15.83416223526001,,,,,,,,,
-14.794132232666016,-15.593563556671143,-15.171967029571533,,,,,,,,,
-15.348124980926514,-15.314900398254395,-15.27477741241455,-14.833028316497803,-16.00523042678833,-15.744741916656494,-15.42995023727417,,,,,
-15.453983783721924,-15.398072719573975,-15.418914794921875,-15.793381690979004,,,,,,,,
-15.272048950195312,-15.471453666687012,-14.844955921173096,-15.842403411865234,-16.1410493850708,,,,,,,
-16.10301685333252,-15.681478023529053,-15.453741550445557,-15.335631370544434,-15.250964164733887,,,,,,,
-15.68099308013916,-15.774054527282715,-15.432902812957764,-15.073723793029785,-14.9661226272583,,,,,,,
-16.011510372161865,-15.872375965118408,-15.795402526855469,-16.18118381500244,-15.366251468658447,,,,,,,
-15.70811653137207,-15.535996913909912,-16.20134162902832,,,,,,,,,
-15.680585861206055,-15.855286121368408,-15.431621074676514,-15.415061473846436,-15.257603168487549,-16.12611961364746,,,,,,
-15.51867151260376,-15.187113761901855,-15.350696563720703,-15.259798049926758,-15.240461826324463,-16.1174955368042,-14.919315814971924,,,,,
-15.994874000549316,-14.896468162536621,-15.317518711090088,-15.817114353179932,-15.653857707977295,-15.386780261993408,,,,,,
-15.409727096557617,-15.888880729675293,-15.688363552093506,,,,,,,,,
-16.094304084777832,-15.60744047164917,-15.609039306640625,,,,,,,,,
-15.831230163574219,,,,,,,,,,,
