,S.temperature,diff.temperature,alpha.temperature,beta0_gsic.slr_brick,V0_gsic.slr_brick,n_gsic.slr_brick,Gs0_gsic.slr_brick,a_tee.slr_brick,a_simple.slr_brick,b_simple.slr_brick,alpha_simple.slr_brick,beta_simple.slr_brick,V0_simple.slr_brick,offset.Tgav_obs,sigma.Tgav_obs,rho.Tgav_obs,sigma.slr_gsic_obs,rho.slr_gsic_obs,sigma.slr_gis_obs,rho.slr_gis_obs,a_anto.slr_brick,b_anto.slr_brick,gamma_dais.slr_brick,alpha_dais.slr_brick,mu_dais.slr_brick,nu_dais.slr_brick,P0_dais.slr_brick,kappa_dais.slr_brick,f0_dais.slr_brick,h0_dais.slr_brick,c_dais.slr_brick,b0_dais.slr_brick,slope_dais.slr_brick,lambda_dais.slr_brick,Tcrit_dais.slr_brick,offset.ocheat_obs,sigma.ocheat_obs,rho.ocheat_obs,leaf
p,0.144,0.131,0.147,0.037,0.002,0.001,0.001,0.07,0.007,0.054,0.019,0.033,0.0,0.006,0.005,0.012,0.002,0.002,0.003,0.0,0.028,0.007,0.002,0.011,0.005,0.003,0.093,0.0,0.007,0.006,0.0,0.004,0.066,0.006,0.086,0.0,0.0,0.0,0.0
l,0.157,0.118,0.134,0.034,0.006,0.003,0.002,0.06,0.02,0.045,0.049,0.035,0.001,0.008,0.007,0.007,0.004,0.005,0.004,0.003,0.021,0.009,0.008,0.008,0.004,0.007,0.078,0.005,0.01,0.015,0.002,0.006,0.061,0.004,0.059,0.0,0.0,0.0,0.001
ll,0.12812812812812813,0.05905905905905906,0.12012012012012012,0.03203203203203203,0.01001001001001001,0.014014014014014014,0.013013013013013013,0.04004004004004004,0.025025025025025027,0.05105105105105105,0.03803803803803804,0.035035035035035036,0.006006006006006006,0.01701701701701702,0.01001001001001001,0.012012012012012012,0.008008008008008008,0.008008008008008008,0.009009009009009009,0.008008008008008008,0.022022022022022022,0.011011011011011011,0.009009009009009009,0.012012012012012012,0.016016016016016016,0.014014014014014014,0.06106106106106106,0.01001001001001001,0.014014014014014014,0.016016016016016016,0.006006006006006006,0.013013013013013013,0.04604604604604605,0.016016016016016016,0.056056056056056056,0.0,0.0,0.0,0.03403403403403404
lll,0.10466321243523316,0.0383419689119171,0.07979274611398963,0.027979274611398965,0.015544041450777202,0.00932642487046632,0.015544041450777202,0.022797927461139896,0.031088082901554404,0.035233160621761656,0.04455958549222798,0.027979274611398965,0.013471502590673576,0.00932642487046632,0.0062176165803108805,0.010362694300518135,0.012435233160621761,0.014507772020725389,0.019689119170984457,0.004145077720207254,0.014507772020725389,0.016580310880829015,0.015544041450777202,0.014507772020725389,0.017616580310880828,0.02383419689119171,0.04248704663212435,0.012435233160621761,0.013471502590673576,0.007253886010362694,0.016580310880829015,0.017616580310880828,0.043523316062176166,0.012435233160621761,0.03419689119170984,0.0,0.0,0.0,0.1544041450777202
llll,0.058823529411764705,0.030637254901960783,0.05269607843137255,0.02696078431372549,0.015931372549019607,0.012254901960784314,0.014705882352941176,0.015931372549019607,0.01838235294117647,0.028186274509803922,0.03553921568627451,0.023284313725490197,0.00980392156862745,0.020833333333333332,0.015931372549019607,0.011029411764705883,0.01715686274509804,0.015931372549019607,0.011029411764705883,0.01838235294117647,0.022058823529411766,0.01715686274509804,0.012254901960784314,0.015931372549019607,0.025735294117647058,0.015931372549019607,0.029411764705882353,0.0196078431372549,0.013480392156862746,0.013480392156862746,0.012254901960784314,0.015931372549019607,0.024509803921568627,0.01838235294117647,0.01838235294117647,0.0,0.0,0.0,0.27205882352941174
lllr,0.06985294117647059,0.02696078431372549,0.05514705882352941,0.023284313725490197,0.013480392156862746,0.023284313725490197,0.011029411764705883,0.0196078431372549,0.03308823529411765,0.031862745098039214,0.024509803921568627,0.028186274509803922,0.011029411764705883,0.01838235294117647,0.014705882352941176,0.01715686274509804,0.024509803921568627,0.013480392156862746,0.020833333333333332,0.014705882352941176,0.015931372549019607,0.015931372549019607,0.012254901960784314,0.013480392156862746,0.023284313725490197,0.014705882352941176,0.04534313725490196,0.011029411764705883,0.00980392156862745,0.01715686274509804,0.015931372549019607,0.023284313725490197,0.04411764705882353,0.01838235294117647,0.0392156862745098,0.0,0.0,0.0,0.18504901960784315
llr,0.10673575129533679,0.046632124352331605,0.07875647668393783,0.03730569948186528,0.012435233160621761,0.016580310880829015,0.013471502590673576,0.03626943005181347,0.027979274611398965,0.04145077720207254,0.03730569948186528,0.029015544041450778,0.014507772020725389,0.021761658031088083,0.010362694300518135,0.008290155440414507,0.012435233160621761,0.017616580310880828,0.015544041450777202,0.012435233160621761,0.016580310880829015,0.007253886010362694,0.015544041450777202,0.015544041450777202,0.016580310880829015,0.012435233160621761,0.06217616580310881,0.021761658031088083,0.016580310880829015,0.019689119170984457,0.00932642487046632,0.013471502590673576,0.049740932642487044,0.014507772020725389,0.0383419689119171,0.0,0.0,0.0,0.07357512953367876
llrl,0.07270693512304251,0.03355704697986577,0.04586129753914989,0.02237136465324385,0.021252796420581657,0.020134228187919462,0.016778523489932886,0.02237136465324385,0.02348993288590604,0.05145413870246085,0.03691275167785235,0.016778523489932886,0.015659955257270694,0.02237136465324385,0.015659955257270694,0.008948545861297539,0.0145413870246085,0.011185682326621925,0.006711409395973154,0.012304250559284116,0.01901565995525727,0.013422818791946308,0.0145413870246085,0.017897091722595078,0.007829977628635347,0.016778523489932886,0.05145413870246085,0.015659955257270694,0.016778523489932886,0.015659955257270694,0.007829977628635347,0.016778523489932886,0.03355704697986577,0.016778523489932886,0.03131991051454139,0.0,0.0,0.0,0.21364653243847875
llrr,0.06711409395973154,0.03243847874720358,0.06263982102908278,0.03355704697986577,0.017897091722595078,0.011185682326621925,0.0145413870246085,0.029082774049217,0.02237136465324385,0.042505592841163314,0.0447427293064877,0.03131991051454139,0.012304250559284116,0.03131991051454139,0.013422818791946308,0.017897091722595078,0.02237136465324385,0.01901565995525727,0.008948545861297539,0.008948545861297539,0.02348993288590604,0.013422818791946308,0.017897091722595078,0.01901565995525727,0.0145413870246085,0.012304250559284116,0.040268456375838924,0.015659955257270694,0.017897091722595078,0.026845637583892617,0.0145413870246085,0.021252796420581657,0.017897091722595078,0.026845637583892617,0.03803131991051454,0.0,0.0,0.0,0.13646532438478748
lr,0.1111111111111111,0.057057057057057055,0.11811811811811812,0.03003003003003003,0.013013013013013013,0.011011011011011011,0.007007007007007007,0.04104104104104104,0.03003003003003003,0.06106106106106106,0.04604604604604605,0.02002002002002002,0.003003003003003003,0.022022022022022022,0.016016016016016016,0.011011011011011011,0.007007007007007007,0.008008008008008008,0.011011011011011011,0.006006006006006006,0.021021021021021023,0.014014014014014014,0.011011011011011011,0.021021021021021023,0.006006006006006006,0.008008008008008008,0.07707707707707707,0.012012012012012012,0.016016016016016016,0.018018018018018018,0.011011011011011011,0.005005005005005005,0.056056056056056056,0.01701701701701702,0.07107107107107107,0.0,0.0,0.0,0.006006006006006006
