,S.temperature,diff.temperature,alpha.temperature,beta0_gsic.slr_brick,V0_gsic.slr_brick,n_gsic.slr_brick,Gs0_gsic.slr_brick,a_tee.slr_brick,a_simple.slr_brick,b_simple.slr_brick,alpha_simple.slr_brick,beta_simple.slr_brick,V0_simple.slr_brick,offset.Tgav_obs,sigma.Tgav_obs,rho.Tgav_obs,sigma.slr_gsic_obs,rho.slr_gsic_obs,sigma.slr_gis_obs,rho.slr_gis_obs,a_anto.slr_brick,b_anto.slr_brick,gamma_dais.slr_brick,alpha_dais.slr_brick,mu_dais.slr_brick,nu_dais.slr_brick,P0_dais.slr_brick,kappa_dais.slr_brick,f0_dais.slr_brick,h0_dais.slr_brick,c_dais.slr_brick,b0_dais.slr_brick,slope_dais.slr_brick,lambda_dais.slr_brick,Tcrit_dais.slr_brick,offset.ocheat_obs,sigma.ocheat_obs,rho.ocheat_obs,leaf
p,0.177,0.115,0.116,0.009,0.027,0.004,0.015,0.086,0.055,0.078,0.096,0.016,0.004,0.013,0.044,0.023,0.003,0.029,0.001,0.029,0.006,0.003,0.003,0.004,0.003,0.003,0.004,0.006,0.001,0.003,0.002,0.004,0.006,0.007,0.005,0.0,0.0,0.0,0.0
l,0.149,0.098,0.151,0.011,0.014,0.011,0.01,0.118,0.037,0.045,0.048,0.017,0.011,0.042,0.038,0.023,0.012,0.015,0.01,0.023,0.01,0.013,0.01,0.009,0.004,0.014,0.005,0.004,0.009,0.007,0.006,0.006,0.004,0.008,0.006,0.0,0.0,0.0,0.002
ll,0.1372745490981964,0.07314629258517034,0.12625250501002003,0.02004008016032064,0.026052104208416832,0.01503006012024048,0.012024048096192385,0.08216432865731463,0.017034068136272545,0.02004008016032064,0.04609218436873747,0.01903807615230461,0.014028056112224449,0.036072144288577156,0.02404809619238477,0.02404809619238477,0.01002004008016032,0.01002004008016032,0.013026052104208416,0.02004008016032064,0.008016032064128256,0.008016032064128256,0.018036072144288578,0.012024048096192385,0.01002004008016032,0.01603206412825651,0.01503006012024048,0.017034068136272545,0.018036072144288578,0.01002004008016032,0.012024048096192385,0.01503006012024048,0.0070140280561122245,0.01002004008016032,0.00501002004008016,0.0,0.0,0.0,0.07314629258517034
lll,0.10918918918918918,0.04108108108108108,0.10594594594594595,0.016216216216216217,0.011891891891891892,0.0075675675675675675,0.01945945945945946,0.04864864864864865,0.024864864864864864,0.025945945945945945,0.022702702702702703,0.016216216216216217,0.011891891891891892,0.04540540540540541,0.011891891891891892,0.012972972972972972,0.014054054054054054,0.016216216216216217,0.015135135135135135,0.008648648648648649,0.014054054054054054,0.005405405405405406,0.010810810810810811,0.010810810810810811,0.005405405405405406,0.015135135135135135,0.011891891891891892,0.015135135135135135,0.023783783783783784,0.008648648648648649,0.016216216216216217,0.01945945945945946,0.021621621621621623,0.004324324324324324,0.006486486486486486,0.0,0.0,0.0,0.22486486486486487
llll,0.09483960948396095,0.023709902370990237,0.06834030683403068,0.012552301255230125,0.016736401673640166,0.015341701534170154,0.011157601115760111,0.03905160390516039,0.015341701534170154,0.01813110181311018,0.02092050209205021,0.009762900976290097,0.011157601115760111,0.026499302649930265,0.015341701534170154,0.016736401673640166,0.011157601115760111,0.02092050209205021,0.005578800557880056,0.016736401673640166,0.009762900976290097,0.00697350069735007,0.019525801952580194,0.009762900976290097,0.005578800557880056,0.009762900976290097,0.009762900976290097,0.019525801952580194,0.022315202231520222,0.012552301255230125,0.015341701534170154,0.008368200836820083,0.009762900976290097,0.016736401673640166,0.011157601115760111,0.0,0.0,0.0,0.34309623430962344
lllr,0.10181311018131102,0.02789400278940028,0.08926080892608089,0.01813110181311018,0.012552301255230125,0.019525801952580194,0.01394700139470014,0.044630404463040445,0.02092050209205021,0.02092050209205021,0.023709902370990237,0.030683403068340307,0.015341701534170154,0.02789400278940028,0.01394700139470014,0.009762900976290097,0.009762900976290097,0.016736401673640166,0.01813110181311018,0.016736401673640166,0.015341701534170154,0.015341701534170154,0.015341701534170154,0.012552301255230125,0.009762900976290097,0.022315202231520222,0.022315202231520222,0.016736401673640166,0.011157601115760111,0.015341701534170154,0.011157601115760111,0.02092050209205021,0.011157601115760111,0.012552301255230125,0.015341701534170154,0.0,0.0,0.0,0.2203626220362622
llr,0.10594594594594595,0.043243243243243246,0.10918918918918918,0.02054054054054054,0.03135135135135135,0.015135135135135135,0.014054054054054054,0.06702702702702702,0.017297297297297298,0.025945945945945945,0.02810810810810811,0.018378378378378378,0.014054054054054054,0.025945945945945945,0.022702702702702703,0.021621621621621623,0.011891891891891892,0.023783783783783784,0.015135135135135135,0.016216216216216217,0.00972972972972973,0.010810810810810811,0.015135135135135135,0.018378378378378378,0.010810810810810811,0.014054054054054054,0.005405405405405406,0.023783783783783784,0.016216216216216217,0.012972972972972972,0.00972972972972973,0.017297297297297298,0.024864864864864864,0.014054054054054054,0.012972972972972972,0.0,0.0,0.0,0.1362162162162162
llrl,0.10262828535669587,0.04005006257822278,0.07634543178973717,0.023779724655819776,0.02002503128911139,0.015018773466833541,0.012515644555694618,0.03128911138923655,0.02002503128911139,0.012515644555694618,0.03254067584480601,0.023779724655819776,0.016270337922403004,0.02127659574468085,0.01877346683354193,0.012515644555694618,0.015018773466833541,0.01376720901126408,0.008760951188986232,0.017521902377972465,0.010012515644555695,0.012515644555694618,0.015018773466833541,0.011264080100125156,0.017521902377972465,0.015018773466833541,0.01376720901126408,0.01376720901126408,0.012515644555694618,0.015018773466833541,0.01376720901126408,0.02002503128911139,0.012515644555694618,0.010012515644555695,0.012515644555694618,0.0,0.0,0.0,0.26032540675844806
llrr,0.10262828535669587,0.03629536921151439,0.058823529411764705,0.011264080100125156,0.015018773466833541,0.016270337922403004,0.010012515644555695,0.04130162703379224,0.028785982478097622,0.015018773466833541,0.030037546933667083,0.02753441802252816,0.01376720901126408,0.025031289111389236,0.02002503128911139,0.01877346683354193,0.01376720901126408,0.012515644555694618,0.016270337922403004,0.016270337922403004,0.006257822277847309,0.02002503128911139,0.016270337922403004,0.02002503128911139,0.015018773466833541,0.012515644555694618,0.02002503128911139,0.02002503128911139,0.016270337922403004,0.02002503128911139,0.02127659574468085,0.025031289111389236,0.01376720901126408,0.011264080100125156,0.011264080100125156,0.0,0.0,0.0,0.22152690863579474
lr,0.15030060120240482,0.07214428857715431,0.1282565130260521,0.01002004008016032,0.023046092184368736,0.01002004008016032,0.01603206412825651,0.08617234468937876,0.021042084168336674,0.03006012024048096,0.052104208416833664,0.01903807615230461,0.0070140280561122245,0.03907815631262525,0.036072144288577156,0.01603206412825651,0.008016032064128256,0.02004008016032064,0.011022044088176353,0.021042084168336674,0.008016032064128256,0.004008016032064128,0.014028056112224449,0.01503006012024048,0.014028056112224449,0.013026052104208416,0.01503006012024048,0.018036072144288578,0.01603206412825651,0.012024048096192385,0.01002004008016032,0.014028056112224449,0.009018036072144289,0.012024048096192385,0.012024048096192385,0.0,0.0,0.0,0.03707414829659319
