,S.temperature,diff.temperature,alpha.temperature,beta0_gsic.slr_brick,V0_gsic.slr_brick,n_gsic.slr_brick,Gs0_gsic.slr_brick,a_tee.slr_brick,a_simple.slr_brick,b_simple.slr_brick,alpha_simple.slr_brick,beta_simple.slr_brick,V0_simple.slr_brick,offset.Tgav_obs,sigma.Tgav_obs,rho.Tgav_obs,sigma.slr_gsic_obs,rho.slr_gsic_obs,sigma.slr_gis_obs,rho.slr_gis_obs,a_anto.slr_brick,b_anto.slr_brick,gamma_dais.slr_brick,alpha_dais.slr_brick,mu_dais.slr_brick,nu_dais.slr_brick,P0_dais.slr_brick,kappa_dais.slr_brick,f0_dais.slr_brick,h0_dais.slr_brick,c_dais.slr_brick,b0_dais.slr_brick,slope_dais.slr_brick,lambda_dais.slr_brick,Tcrit_dais.slr_brick,offset.ocheat_obs,sigma.ocheat_obs,rho.ocheat_obs,leaf
p,0.39,0.165,0.233,0.079,0.0,0.0,0.0,0.046,0.001,0.009,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.001,0.0,0.0,0.056,0.0,0.001,0.0,0.0,0.0,0.0
l,0.279,0.058,0.103,0.125,0.0,0.0,0.0,0.24,0.004,0.103,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.001,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
ll,0.157,0.04,0.052,0.123,0.0,0.004,0.003,0.212,0.055,0.176,0.036,0.002,0.003,0.003,0.004,0.001,0.001,0.007,0.001,0.008,0.02,0.0,0.003,0.0,0.0,0.0,0.015,0.0,0.003,0.006,0.002,0.003,0.054,0.003,0.003,0.0,0.0,0.0,0.0
lll,0.1,0.034,0.028,0.105,0.01,0.009,0.007,0.145,0.048,0.118,0.05,0.009,0.012,0.004,0.011,0.014,0.01,0.01,0.005,0.014,0.028,0.009,0.007,0.005,0.012,0.009,0.028,0.009,0.011,0.025,0.013,0.013,0.052,0.011,0.024,0.0,0.0,0.0,0.001
llll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lllr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
llr,0.15,0.064,0.032,0.124,0.007,0.007,0.01,0.158,0.03,0.112,0.045,0.009,0.005,0.007,0.006,0.003,0.005,0.006,0.003,0.009,0.043,0.005,0.004,0.009,0.007,0.01,0.022,0.002,0.009,0.013,0.012,0.005,0.05,0.007,0.007,0.0,0.0,0.0,0.003
llrl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
llrr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lr,0.242,0.079,0.081,0.133,0.0,0.002,0.0,0.198,0.021,0.085,0.012,0.0,0.001,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.026,0.002,0.002,0.003,0.003,0.0,0.041,0.002,0.0,0.002,0.003,0.001,0.052,0.0,0.006,0.0,0.0,0.0,0.0
lrl,0.135,0.05,0.04,0.123,0.002,0.001,0.005,0.165,0.031,0.134,0.052,0.009,0.007,0.005,0.003,0.007,0.007,0.003,0.004,0.01,0.032,0.007,0.007,0.005,0.003,0.006,0.031,0.007,0.007,0.004,0.008,0.006,0.067,0.005,0.012,0.0,0.0,0.0,0.0
lrll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lrlr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lrr,0.145,0.081,0.059,0.136,0.001,0.003,0.004,0.169,0.029,0.114,0.025,0.001,0.001,0.001,0.006,0.005,0.008,0.004,0.005,0.004,0.045,0.005,0.002,0.004,0.003,0.002,0.051,0.006,0.003,0.005,0.003,0.004,0.055,0.004,0.007,0.0,0.0,0.0,0.0
lrrl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lrrr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
r,0.263,0.039,0.174,0.062,0.0,0.0,0.0,0.273,0.005,0.071,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.001,0.0,0.001,0.0,0.0,0.005,0.0,0.0,0.0,0.001,0.0,0.088,0.0,0.003,0.0,0.0,0.0,0.0
rl,0.204,0.034,0.081,0.098,0.0,0.0,0.0,0.248,0.028,0.137,0.019,0.0,0.001,0.0,0.002,0.002,0.0,0.002,0.0,0.001,0.042,0.003,0.005,0.0,0.001,0.0,0.013,0.002,0.0,0.002,0.001,0.0,0.065,0.002,0.007,0.0,0.0,0.0,0.0
rll,0.125,0.031,0.055,0.087,0.004,0.003,0.001,0.228,0.05,0.157,0.028,0.006,0.002,0.006,0.003,0.006,0.006,0.008,0.004,0.009,0.043,0.005,0.011,0.005,0.002,0.007,0.015,0.002,0.003,0.004,0.004,0.006,0.06,0.001,0.013,0.0,0.0,0.0,0.0
rlll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rllr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rlr,0.174,0.03,0.063,0.078,0.005,0.004,0.001,0.19,0.033,0.117,0.043,0.003,0.007,0.005,0.004,0.005,0.003,0.005,0.006,0.002,0.05,0.0,0.011,0.007,0.002,0.006,0.02,0.004,0.007,0.003,0.004,0.007,0.083,0.001,0.017,0.0,0.0,0.0,0.0
rlrl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rlrr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
