,S.temperature,diff.temperature,alpha.temperature,beta0_gsic.slr_brick,V0_gsic.slr_brick,n_gsic.slr_brick,Gs0_gsic.slr_brick,a_tee.slr_brick,a_simple.slr_brick,b_simple.slr_brick,alpha_simple.slr_brick,beta_simple.slr_brick,V0_simple.slr_brick,offset.Tgav_obs,sigma.Tgav_obs,rho.Tgav_obs,sigma.slr_gsic_obs,rho.slr_gsic_obs,sigma.slr_gis_obs,rho.slr_gis_obs,a_anto.slr_brick,b_anto.slr_brick,gamma_dais.slr_brick,alpha_dais.slr_brick,mu_dais.slr_brick,nu_dais.slr_brick,P0_dais.slr_brick,kappa_dais.slr_brick,f0_dais.slr_brick,h0_dais.slr_brick,c_dais.slr_brick,b0_dais.slr_brick,slope_dais.slr_brick,lambda_dais.slr_brick,Tcrit_dais.slr_brick,offset.ocheat_obs,sigma.ocheat_obs,rho.ocheat_obs,leaf
p,0.165,0.102,0.141,0.099,0.0,0.0,0.0,0.098,0.027,0.057,0.017,0.005,0.002,0.0,0.003,0.0,0.001,0.002,0.004,0.009,0.067,0.002,0.003,0.007,0.0,0.001,0.034,0.001,0.002,0.02,0.005,0.003,0.073,0.013,0.037,0.0,0.0,0.0,0.0
l,0.129,0.108,0.132,0.103,0.004,0.001,0.004,0.075,0.043,0.078,0.027,0.008,0.004,0.003,0.003,0.003,0.001,0.002,0.007,0.012,0.067,0.001,0.007,0.012,0.006,0.0,0.033,0.001,0.006,0.012,0.011,0.005,0.058,0.007,0.027,0.0,0.0,0.0,0.0
ll,0.121,0.076,0.109,0.073,0.009,0.005,0.006,0.096,0.036,0.063,0.029,0.008,0.002,0.01,0.006,0.002,0.012,0.02,0.01,0.018,0.063,0.007,0.011,0.017,0.005,0.009,0.035,0.012,0.009,0.016,0.016,0.008,0.049,0.012,0.019,0.0,0.0,0.0,0.001
lll,0.09309309309309309,0.07207207207207207,0.043043043043043044,0.08108108108108109,0.011011011011011011,0.012012012012012012,0.011011011011011011,0.08808808808808809,0.042042042042042045,0.057057057057057055,0.025025025025025027,0.026026026026026026,0.015015015015015015,0.016016016016016016,0.02002002002002002,0.01701701701701702,0.013013013013013013,0.021021021021021023,0.009009009009009009,0.01701701701701702,0.03003003003003003,0.013013013013013013,0.016016016016016016,0.006006006006006006,0.016016016016016016,0.013013013013013013,0.023023023023023025,0.013013013013013013,0.021021021021021023,0.023023023023023025,0.014014014014014014,0.009009009009009009,0.044044044044044044,0.02702702702702703,0.03303303303303303,0.0,0.0,0.0,0.009009009009009009
llll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lllr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
llr,0.1011011011011011,0.06106106106106106,0.07007007007007007,0.055055055055055056,0.009009009009009009,0.022022022022022022,0.006006006006006006,0.0980980980980981,0.03903903903903904,0.06006006006006006,0.03303303303303303,0.024024024024024024,0.013013013013013013,0.021021021021021023,0.009009009009009009,0.011011011011011011,0.014014014014014014,0.016016016016016016,0.011011011011011011,0.018018018018018018,0.04004004004004004,0.01001001001001001,0.016016016016016016,0.021021021021021023,0.013013013013013013,0.008008008008008008,0.025025025025025027,0.011011011011011011,0.01001001001001001,0.015015015015015015,0.022022022022022022,0.018018018018018018,0.043043043043043044,0.014014014014014014,0.03203203203203203,0.0,0.0,0.0,0.01001001001001001
llrl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
llrr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lr,0.125,0.065,0.103,0.081,0.01,0.009,0.009,0.086,0.039,0.072,0.042,0.015,0.004,0.012,0.004,0.006,0.004,0.013,0.006,0.02,0.055,0.004,0.012,0.017,0.006,0.006,0.038,0.005,0.005,0.012,0.013,0.007,0.053,0.009,0.032,0.0,0.0,0.0,0.001
