param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,rank_test_score
14,33,7,13,250,0.93175,1
16,37,7,7,250,0.931375,2
12,35,7,10,750,0.931375,2
16,37,4,10,500,0.931375,2
14,35,7,16,1000,0.931375,2
16,35,7,13,250,0.931375,2
12,37,10,10,250,0.93125,7
12,37,10,10,750,0.93125,7
14,37,7,10,250,0.93125,7
14,37,7,10,500,0.931125,10
18,33,10,7,750,0.931125,10
16,35,10,16,250,0.931125,10
16,35,7,16,1000,0.931125,10
18,37,7,10,1000,0.931125,10
14,37,10,13,1000,0.931125,10
18,35,10,10,500,0.931125,10
14,35,7,13,500,0.9309999999999999,17
12,37,7,10,500,0.9309999999999999,17
12,35,4,16,500,0.9309999999999999,17
12,29,7,13,500,0.9309999999999999,17
18,35,7,10,750,0.9309999999999999,17
18,35,10,7,500,0.9309999999999999,17
16,33,7,7,750,0.9309999999999999,17
12,29,7,7,250,0.9309999999999999,17
