param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,rank_test_score
18,15,4,7,250,0.95725,1
14,15,4,13,500,0.957125,2
12,15,2,13,750,0.9570000000000001,3
14,15,2,10,250,0.9570000000000001,3
16,15,3,13,1000,0.9570000000000001,3
16,15,4,4,500,0.9570000000000001,3
12,15,3,10,250,0.956875,7
12,15,3,13,250,0.956875,7
14,15,2,7,500,0.956875,7
14,15,3,7,750,0.956875,7
16,15,1,7,500,0.956875,7
16,15,2,4,250,0.956875,7
16,15,3,4,750,0.956875,7
16,15,4,10,750,0.956875,7
18,15,2,4,750,0.956875,7
