param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,rank_test_score
18,15,2,13,250,0.959625,1
14,15,2,13,250,0.9595,2
12,15,4,7,750,0.959125,3
14,15,2,4,1000,0.959125,3
16,15,2,7,500,0.959125,3
16,15,3,4,250,0.959125,3
14,15,1,7,1000,0.9590000000000001,7
18,15,2,4,750,0.9590000000000001,7
12,15,3,4,750,0.958875,9
14,15,2,4,250,0.958875,9
14,15,4,4,250,0.958875,9
16,15,2,4,1000,0.958875,9
16,15,4,7,250,0.958875,9
18,15,4,7,250,0.958875,9
