,Training Accuracy,Validation Accuracy
"2025, max_features = sqrt",0.9546666666666667,0.9
"2025, max_features = 38",0.9866666666666667,0.911
"2050, max_features = sqrt",0.9883333333333333,0.932
"2050, max_features = 38",0.9965,0.9385
"2075, max_features = sqrt",0.9871666666666666,0.9175
"2075, max_features = 38",0.9958333333333333,0.931
"2100, max_features = sqrt",0.9878333333333333,0.93
"2100, max_features = 38",0.9958333333333333,0.9365
"2125, max_features = sqrt",0.9876666666666667,0.9295
"2125, max_features = 38",0.9955,0.952
"2150, max_features = sqrt",0.9901666666666666,0.936
"2150, max_features = 38",0.9968333333333333,0.952
