sun,wind,humidity,season,time,temp,travel,tennis
not sunny,not windy,not humid,summer,AM,96.65,0,tennis
not sunny,not windy,not humid,summer,AM,99.07,15,no tennis
not sunny,not windy,not humid,fall,PM,82.48,14,no tennis
sunny,windy,humid,summer,PM,71.95,25,tennis
not sunny,windy,not humid,summer,PM,67.66,10,tennis
sunny,windy,humid,fall,PM,71.0,22,tennis
not sunny,windy,humid,fall,AM,85.11,7,no tennis
sunny,not windy,not humid,summer,AM,89.14,21,tennis
not sunny,windy,humid,summer,AM,70.99,22,tennis
not sunny,windy,not humid,fall,AM,65.8,7,no tennis
sunny,windy,not humid,summer,AM,60.22,4,no tennis
not sunny,not windy,not humid,summer,PM,75.65,18,tennis
not sunny,not windy,humid,summer,AM,82.65,9,no tennis
sunny,not windy,humid,summer,PM,91.5,21,no tennis
sunny,not windy,humid,summer,AM,72.83,18,tennis
not sunny,windy,not humid,fall,PM,51.36,20,no tennis
not sunny,not windy,humid,summer,AM,67.26,14,no tennis
sunny,not windy,not humid,fall,PM,75.18,12,no tennis
not sunny,windy,humid,summer,PM,95.15,2,no tennis
sunny,windy,not humid,fall,PM,92.43,27,tennis
not sunny,windy,humid,fall,AM,88.28,16,no tennis
not sunny,windy,not humid,summer,AM,85.45,24,no tennis
sunny,not windy,not humid,summer,AM,60.52,9,tennis
not sunny,windy,not humid,summer,PM,87.55,2,no tennis
sunny,not windy,humid,summer,AM,76.98,9,tennis
sunny,not windy,not humid,fall,PM,90.97,25,tennis
sunny,windy,not humid,summer,AM,93.63,12,tennis
sunny,windy,not humid,fall,PM,76.3,23,tennis
not sunny,windy,humid,summer,AM,54.28,1,no tennis
not sunny,not windy,humid,fall,AM,86.33,25,no tennis
sunny,not windy,not humid,summer,PM,72.83,4,tennis
sunny,not windy,not humid,summer,PM,53.3,10,tennis
sunny,not windy,not humid,fall,PM,79.45,27,no tennis
sunny,not windy,not humid,fall,AM,83.78,30,tennis
sunny,windy,not humid,fall,AM,92.1,1,tennis
sunny,windy,humid,summer,AM,63.41,5,no tennis
not sunny,windy,not humid,fall,AM,86.33,0,tennis
not sunny,windy,not humid,summer,AM,79.31,0,no tennis
not sunny,not windy,humid,summer,PM,77.35,26,tennis
not sunny,not windy,not humid,summer,PM,82.3,13,tennis
sunny,windy,humid,fall,AM,70.39,22,no tennis
sunny,windy,humid,fall,AM,78.36,27,no tennis
sunny,windy,not humid,fall,PM,88.08,16,tennis
not sunny,windy,humid,fall,AM,59.64,18,no tennis
sunny,windy,humid,summer,PM,67.46,18,tennis
not sunny,windy,not humid,fall,PM,53.62,20,no tennis
sunny,windy,not humid,fall,AM,76.5,8,tennis
not sunny,windy,humid,summer,AM,87.59,22,no tennis
sunny,windy,humid,summer,PM,71.3,7,tennis
not sunny,not windy,humid,fall,PM,65.64,11,no tennis
sunny,not windy,not humid,fall,AM,56.99,3,tennis
not sunny,not windy,not humid,summer,AM,91.58,30,no tennis
not sunny,not windy,not humid,summer,AM,75.94,17,no tennis
not sunny,not windy,humid,fall,AM,50.57,10,tennis
sunny,windy,humid,summer,AM,95.23,7,tennis
not sunny,windy,not humid,summer,AM,92.8,21,no tennis
sunny,windy,not humid,fall,PM,63.59,30,no tennis
not sunny,windy,not humid,fall,PM,60.93,22,tennis
sunny,windy,humid,summer,PM,57.33,21,tennis
sunny,not windy,humid,summer,AM,98.0,6,tennis
sunny,windy,humid,fall,PM,94.79,22,no tennis
not sunny,not windy,humid,summer,AM,66.17,22,tennis
sunny,not windy,not humid,summer,PM,52.04,19,tennis
sunny,not windy,humid,summer,AM,93.05,10,tennis
sunny,not windy,not humid,fall,AM,97.67,27,tennis
sunny,windy,not humid,fall,AM,86.01,10,tennis
sunny,not windy,humid,summer,AM,54.76,9,tennis
sunny,not windy,not humid,summer,PM,59.76,25,tennis
not sunny,not windy,not humid,fall,AM,96.5,0,tennis
sunny,not windy,not humid,fall,AM,52.92,5,no tennis
sunny,windy,humid,summer,AM,99.84,29,no tennis
sunny,not windy,not humid,summer,AM,96.07,21,tennis
not sunny,not windy,humid,summer,AM,73.84,2,tennis
sunny,not windy,not humid,summer,PM,70.89,12,tennis
sunny,not windy,humid,fall,AM,66.99,3,no tennis
sunny,not windy,not humid,summer,PM,70.58,7,tennis
not sunny,not windy,humid,fall,PM,69.36,17,no tennis
sunny,windy,humid,summer,AM,92.11,21,no tennis
sunny,not windy,humid,summer,AM,62.9,10,tennis
sunny,not windy,not humid,summer,AM,66.05,13,tennis
not sunny,not windy,not humid,fall,PM,75.3,29,no tennis
sunny,not windy,humid,summer,PM,83.99,10,no tennis
not sunny,not windy,not humid,fall,AM,64.94,8,tennis
sunny,windy,not humid,fall,PM,79.94,28,tennis
not sunny,not windy,humid,fall,AM,53.66,13,no tennis
sunny,not windy,humid,summer,PM,87.68,17,no tennis
sunny,windy,not humid,summer,AM,78.18,25,no tennis
not sunny,not windy,humid,fall,PM,94.1,20,no tennis
not sunny,not windy,humid,fall,AM,62.98,11,tennis
sunny,windy,not humid,fall,AM,59.5,26,tennis
sunny,windy,not humid,fall,PM,99.62,4,tennis
not sunny,windy,not humid,summer,AM,79.81,12,no tennis
