n_estimators,max_depth,max_features,min_impurity_decrease,score
80,25,36,0.001,0.9666666666666667
80,30,36,0.001,0.9666666666666667
80,20,36,0.001,0.9666666666666667
250,25,30,0.001,0.9663888888888889
250,30,30,0.001,0.9663888888888889
250,20,30,0.001,0.9663888888888889
200,25,30,0.001,0.9661111111111111
200,30,30,0.001,0.9661111111111111
200,20,30,0.001,0.9661111111111111
110,25,12,0.001,0.9658333333333333
80,15,30,0.001,0.9658333333333333
110,15,30,0.001,0.9658333333333333
80,20,30,0.001,0.9658333333333333
80,25,12,0.001,0.9658333333333333
140,20,30,0.001,0.9658333333333333
80,30,30,0.001,0.9658333333333333
80,30,12,0.001,0.9658333333333333
80,25,30,0.001,0.9658333333333333
140,30,30,0.001,0.9658333333333333
140,25,30,0.001,0.9658333333333333
110,30,12,0.001,0.9658333333333333
170,25,12,0.001,0.9655555555555555
170,25,30,0.001,0.9655555555555555
170,30,12,0.001,0.9655555555555555
170,20,30,0.001,0.9655555555555555
170,30,30,0.001,0.9655555555555555
110,25,36,0.001,0.9652777777777778
110,20,30,0.001,0.9652777777777778
200,15,30,0.001,0.9652777777777778
140,30,24,0.001,0.9652777777777778
140,20,24,0.001,0.9652777777777778
140,25,24,0.001,0.9652777777777778
140,15,36,0.001,0.9652777777777778
110,30,30,0.001,0.9652777777777778
110,25,30,0.001,0.9652777777777778
110,20,12,0.001,0.9652777777777778
110,30,36,0.001,0.9652777777777778
110,20,36,0.001,0.9652777777777778
140,20,36,0.001,0.965
170,20,12,0.001,0.965
170,20,36,0.001,0.965
250,15,30,0.001,0.965
80,20,12,0.001,0.965
80,15,36,0.001,0.965
170,15,30,0.001,0.965
140,25,36,0.001,0.9647222222222223
140,30,36,0.001,0.9647222222222223
250,30,24,0.001,0.9647222222222223
200,30,24,0.001,0.9647222222222223
170,30,24,0.001,0.9647222222222223
200,15,12,0.001,0.9647222222222223
80,30,24,0.001,0.9647222222222223
200,30,12,0.001,0.9647222222222223
140,15,30,0.001,0.9647222222222223
250,20,24,0.001,0.9647222222222223
200,20,24,0.001,0.9647222222222223
80,20,24,0.001,0.9647222222222223
170,20,24,0.001,0.9647222222222223
80,25,24,0.001,0.9647222222222223
170,25,24,0.001,0.9647222222222223
200,25,24,0.001,0.9647222222222223
250,25,24,0.001,0.9647222222222223
170,15,36,0.001,0.9647222222222223
200,20,36,0.001,0.9647222222222223
110,15,36,0.001,0.9644444444444444
170,15,24,0.001,0.9644444444444444
200,20,12,0.001,0.9644444444444444
200,30,36,0.001,0.9644444444444444
110,15,12,0.001,0.9644444444444444
250,30,36,0.001,0.9644444444444444
250,20,12,0.001,0.9644444444444444
140,25,12,0.001,0.9644444444444444
170,30,36,0.001,0.9644444444444444
250,25,36,0.001,0.9644444444444444
200,25,36,0.001,0.9644444444444444
170,25,36,0.001,0.9644444444444444
250,25,12,0.001,0.9644444444444444
200,25,12,0.001,0.9644444444444444
250,30,12,0.001,0.9644444444444444
140,30,12,0.001,0.9644444444444444
80,15,24,0.001,0.9641666666666666
250,20,36,0.001,0.9641666666666666
200,15,24,0.001,0.9641666666666666
140,20,12,0.001,0.9641666666666666
250,15,24,0.001,0.9638888888888889
140,15,24,0.001,0.9638888888888889
250,15,12,0.001,0.9638888888888889
140,15,12,0.001,0.9638888888888889
